"Date","Price","Open","High","Low","Change %"
"Apr 14, 2017","1.1803","1.1781","1.1812","1.1769","0.20%"
"Apr 13, 2017","1.1780","1.1756","1.1802","1.1745","0.20%"
"Apr 12, 2017","1.1757","1.1782","1.1800","1.1746","-0.20%"
"Apr 11, 2017","1.1781","1.1713","1.1783","1.1695","0.55%"
"Apr 10, 2017","1.1716","1.1683","1.1736","1.1672","0.27%"
"Apr 07, 2017","1.1684","1.1713","1.1724","1.1655","-0.26%"
"Apr 06, 2017","1.1715","1.1709","1.1756","1.1674","0.08%"
"Apr 05, 2017","1.1706","1.1654","1.1723","1.1637","0.43%"
"Apr 04, 2017","1.1656","1.1703","1.1717","1.1643","-0.41%"
"Apr 03, 2017","1.1704","1.1758","1.1772","1.1683","-0.69%"
"Mar 31, 2017","1.1785","1.1679","1.1786","1.1632","0.88%"
"Mar 30, 2017","1.1682","1.1547","1.1689","1.1543","1.16%"
"Mar 29, 2017","1.1548","1.1512","1.1597","1.1446","0.30%"
"Mar 28, 2017","1.1514","1.1559","1.1606","1.1507","-0.40%"
"Mar 27, 2017","1.1560","1.1562","1.1597","1.1503","0.10%"
"Mar 24, 2017","1.1548","1.1612","1.1617","1.1544","-0.54%"
"Mar 23, 2017","1.1611","1.1565","1.1625","1.1551","0.42%"
"Mar 22, 2017","1.1562","1.1541","1.1571","1.1490","0.17%"
"Mar 21, 2017","1.1542","1.1510","1.1567","1.1460","0.30%"
"Mar 20, 2017","1.1508","1.1548","1.1551","1.1482","-0.29%"
"Mar 17, 2017","1.1542","1.1480","1.1550","1.1444","0.53%"
"Mar 16, 2017","1.1481","1.1451","1.1539","1.1416","0.26%"
"Mar 15, 2017","1.1451","1.1462","1.1539","1.1443","-0.10%"
"Mar 14, 2017","1.1462","1.1471","1.1480","1.1381","-0.06%"
"Mar 13, 2017","1.1469","1.1400","1.1482","1.1373","0.56%"
"Mar 10, 2017","1.1405","1.1505","1.1508","1.1383","-0.84%"
"Mar 09, 2017","1.1502","1.1541","1.1555","1.1466","-0.37%"
"Mar 08, 2017","1.1545","1.1548","1.1562","1.1500","-0.01%"
"Mar 07, 2017","1.1546","1.1565","1.1578","1.1516","-0.16%"
"Mar 06, 2017","1.1564","1.1583","1.1599","1.1534","-0.09%"
"Mar 03, 2017","1.1574","1.1681","1.1690","1.1574","-0.87%"
"Mar 02, 2017","1.1675","1.1656","1.1700","1.1638","0.15%"
"Mar 01, 2017","1.1657","1.1705","1.1753","1.1641","-0.41%"
"Feb 28, 2017","1.1705","1.1751","1.1759","1.1693","-0.40%"
"Feb 27, 2017","1.1752","1.1803","1.1820","1.1710","-0.43%"
"Feb 24, 2017","1.1803","1.1866","1.1879","1.1778","-0.52%"
"Feb 23, 2017","1.1865","1.1792","1.1878","1.1768","0.59%"
"Feb 22, 2017","1.1795","1.1837","1.1903","1.1773","-0.35%"
"Feb 21, 2017","1.1836","1.1736","1.1846","1.1732","0.81%"
"Feb 20, 2017","1.1741","1.1691","1.1754","1.1682","0.38%"
"Feb 17, 2017","1.1697","1.1702","1.1742","1.1639","-0.03%"
"Feb 16, 2017","1.1700","1.1752","1.1786","1.1690","-0.45%"
"Feb 15, 2017","1.1753","1.1787","1.1817","1.1736","-0.31%"
"Feb 14, 2017","1.1789","1.1817","1.1828","1.1720","-0.25%"
"Feb 13, 2017","1.1818","1.1756","1.1828","1.1724","0.67%"
"Feb 10, 2017","1.1739","1.1735","1.1766","1.1694","0.06%"
"Feb 09, 2017","1.1732","1.1719","1.1776","1.1696","0.09%"
"Feb 08, 2017","1.1721","1.1714","1.1756","1.1691","0.10%"
"Feb 07, 2017","1.1709","1.1602","1.1723","1.1570","0.94%"
"Feb 06, 2017","1.1600","1.1583","1.1641","1.1558","0.17%"
"Feb 03, 2017","1.1580","1.1644","1.1667","1.1569","-0.56%"
"Feb 02, 2017","1.1645","1.1759","1.1771","1.1594","-0.92%"
"Feb 01, 2017","1.1753","1.1653","1.1781","1.1634","0.89%"
"Jan 31, 2017","1.1649","1.1668","1.1703","1.1579","-0.23%"
"Jan 30, 2017","1.1676","1.1742","1.1784","1.1658","-0.50%"
"Jan 27, 2017","1.1735","1.1793","1.1814","1.1715","-0.45%"
"Jan 26, 2017","1.1788","1.1759","1.1817","1.1723","0.27%"
"Jan 25, 2017","1.1756","1.1675","1.1777","1.1659","0.76%"
"Jan 24, 2017","1.1667","1.1640","1.1676","1.1555","0.20%"
"Jan 23, 2017","1.1644","1.1555","1.1656","1.1542","0.71%"
"Jan 20, 2017","1.1562","1.1574","1.1591","1.1531","-0.10%"
"Jan 19, 2017","1.1574","1.1531","1.1617","1.1519","0.37%"
"Jan 18, 2017","1.1531","1.1588","1.1594","1.1483","-0.48%"
"Jan 17, 2017","1.1587","1.1362","1.1594","1.1335","1.97%"
"Jan 16, 2017","1.1363","1.1334","1.1421","1.1291","-0.69%"
"Jan 13, 2017","1.1442","1.1462","1.1506","1.1404","-0.14%"
"Jan 12, 2017","1.1458","1.1542","1.1559","1.1429","-0.71%"
"Jan 11, 2017","1.1540","1.1537","1.1567","1.1483","0.03%"
"Jan 10, 2017","1.1537","1.1503","1.1545","1.1410","0.30%"
"Jan 09, 2017","1.1502","1.1637","1.1654","1.1494","-1.40%"
"Jan 06, 2017","1.1665","1.1712","1.1728","1.1646","-0.37%"
"Jan 05, 2017","1.1708","1.1750","1.1764","1.1655","-0.34%"
"Jan 04, 2017","1.1748","1.1759","1.1798","1.1715","-0.12%"
"Jan 03, 2017","1.1762","1.1735","1.1837","1.1720","0.21%"
"Jan 02, 2017","1.1737","1.1739","1.1775","1.1700","0.03%"
"Dec 30, 2016","1.1733","1.1690","1.1750","1.1537","0.39%"
"Dec 29, 2016","1.1688","1.1744","1.1760","1.1652","-0.45%"
"Dec 28, 2016","1.1741","1.1736","1.1783","1.1710","0.05%"
"Dec 27, 2016","1.1735","1.1745","1.1768","1.1706","-0.14%"
"Dec 26, 2016","1.1752","1.1738","1.1788","1.1725","-0.03%"
"Dec 23, 2016","1.1756","1.1770","1.1783","1.1709","-0.11%"
"Dec 22, 2016","1.1769","1.1847","1.1862","1.1747","-0.69%"
"Dec 21, 2016","1.1851","1.1903","1.1912","1.1825","-0.44%"
"Dec 20, 2016","1.1903","1.1920","1.1945","1.1866","-0.15%"
"Dec 19, 2016","1.1921","1.1958","1.1973","1.1830","-0.31%"
"Dec 16, 2016","1.1958","1.1935","1.1981","1.1875","0.28%"
"Dec 15, 2016","1.1925","1.1928","1.2007","1.1897","0.00%"
"Dec 14, 2016","1.1925","1.1912","1.1976","1.1871","0.12%"
"Dec 13, 2016","1.1911","1.1923","1.1990","1.1889","-0.08%"
"Dec 12, 2016","1.1920","1.1909","1.1960","1.1858","0.11%"
"Dec 09, 2016","1.1907","1.1860","1.1949","1.1823","0.42%"
"Dec 08, 2016","1.1857","1.1741","1.1871","1.1663","0.99%"
"Dec 07, 2016","1.1741","1.1830","1.1838","1.1693","-0.74%"
"Dec 06, 2016","1.1828","1.1832","1.1902","1.1811","-0.01%"
"Dec 05, 2016","1.1829","1.1919","1.2045","1.1789","-0.81%"
"Dec 02, 2016","1.1926","1.1816","1.1949","1.1790","0.99%"
"Dec 01, 2016","1.1809","1.1811","1.1951","1.1781","-0.02%"
"Nov 30, 2016","1.1811","1.1727","1.1831","1.1656","0.70%"
"Nov 29, 2016","1.1729","1.1695","1.1814","1.1678","0.27%"
"Nov 28, 2016","1.1697","1.1762","1.1773","1.1673","-0.74%"
"Nov 25, 2016","1.1784","1.1798","1.1811","1.1700","-0.14%"
"Nov 24, 2016","1.1801","1.1793","1.1829","1.1759","0.14%"
"Nov 23, 2016","1.1784","1.1689","1.1816","1.1634","0.80%"
"Nov 22, 2016","1.1691","1.1747","1.1771","1.1661","-0.54%"
"Nov 21, 2016","1.1754","1.1680","1.1784","1.1574","0.81%"
"Nov 18, 2016","1.1660","1.1686","1.1734","1.1580","-0.21%"
"Nov 17, 2016","1.1685","1.1638","1.1704","1.1591","0.40%"
"Nov 16, 2016","1.1639","1.1615","1.1667","1.1587","0.18%"
"Nov 15, 2016","1.1618","1.1630","1.1674","1.1485","-0.14%"
"Nov 14, 2016","1.1634","1.1610","1.1658","1.1580","0.22%"
"Nov 11, 2016","1.1608","1.1531","1.1680","1.1508","0.71%"
"Nov 10, 2016","1.1526","1.1373","1.1549","1.1329","1.35%"
"Nov 09, 2016","1.1372","1.1225","1.1413","1.1075","1.31%"
"Nov 08, 2016","1.1225","1.1235","1.1262","1.1198","-0.04%"
"Nov 07, 2016","1.1229","1.1237","1.1291","1.1187","-0.07%"
"Nov 04, 2016","1.1237","1.1223","1.1295","1.1210","0.15%"
"Nov 03, 2016","1.1220","1.1082","1.1291","1.1076","1.20%"
"Nov 02, 2016","1.1087","1.1074","1.1142","1.1054","0.12%"
"Nov 01, 2016","1.1074","1.1144","1.1179","1.1056","-0.68%"
"Oct 31, 2016","1.1150","1.1091","1.1171","1.1050","0.53%"
