"","Date","Headline","Description","HeadlineTerms","DescriptionTerms"
"7321","2017-06-01","Old loyalties fray in Welsh ex-steel town divided by Brexit","Loyalties of the past are eroding in the Welsh town of Merthyr Tydfil, a stronghold of the Labour Party since its birth more than a century ago and a former powerhouse of now departed heavy industries.","old, loyalties, fray, welsh, ex, steel, town, divided, brexit","loyalties, past, eroding, welsh, town, merthyr, tydfil, stronghold, labour, party, since, birth, century, ago, former, powerhouse, now, departed, heavy, industries"
"7322","2017-06-01","Brexit campaigner Nigel Farage says has no links to Russia - Daily Mail","Britain's Nigel Farage, a leading Brexit campaigner, denied he had any links to Russia following a media report that he is a ""person of interest"" in the U.S. investigation into possible links between Russia and Donald Trump's presidential campaign.","brexit, campaigner, nigel, farage, says, links, russia, daily, mail","britain, s, nigel, farage, leading, brexit, campaigner, denied, links, russia, following, media, report, person, interest, u, s, investigation, possible, links, russia, donald, trump, s, presidential, campaign"
"7325","2017-05-31","What is the YouGov model which estimates May could lose majority?","Prime Minister Theresa May could lose control of parliament in Britain's June 8 election, according to a projection by polling company YouGov, raising the prospect of political deadlock just as formal Brexit talks begin.","yougov, model, estimates, may, lose, majority","prime, minister, theresa, may, lose, control, parliament, britain, s, june, election, according, projection, polling, company, yougov, raising, prospect, political, deadlock, just, formal, brexit, talks, begin"
"7331","2017-06-01","Farage 'person of interest' in Trump-Russia investigation - Guardian","Brexit campaigner Nigel Farage is a ""person of interest"" in the U.S. investigation into possible collusion between Russia and Donald Trump's presidential campaign, the Guardian reported on Thursday citing unidentified sources.","farage, person, interest, trump, russia, investigation, guardian","brexit, campaigner, nigel, farage, person, interest, u, s, investigation, possible, collusion, russia, donald, trump, s, presidential, campaign, guardian, reported, thursday, citing, unidentified, sources"
"7336","2017-06-01","Old loyalties fray in Welsh ex-steel town divided by Brexit","Loyalties of the past are eroding in the Welsh town of Merthyr Tydfil, a stronghold of the Labour Party since its birth more than a century ago and a former powerhouse of now departed heavy industries.","old, loyalties, fray, welsh, ex, steel, town, divided, brexit","loyalties, past, eroding, welsh, town, merthyr, tydfil, stronghold, labour, party, since, birth, century, ago, former, powerhouse, now, departed, heavy, industries"
"7337","2017-06-01","Brexit campaigner Nigel Farage says has no links to Russia - Daily Mail","Britain's Nigel Farage, a leading Brexit campaigner, denied he had any links to Russia following a media report that he is a ""person of interest"" in the U.S. investigation into possible links between Russia and Donald Trump's presidential campaign.","brexit, campaigner, nigel, farage, says, links, russia, daily, mail","britain, s, nigel, farage, leading, brexit, campaigner, denied, links, russia, following, media, report, person, interest, u, s, investigation, possible, links, russia, donald, trump, s, presidential, campaign"
"7340","2017-05-31","What is the YouGov model which estimates May could lose majority?","Prime Minister Theresa May could lose control of parliament in Britain's June 8 election, according to a projection by polling company YouGov, raising the prospect of political deadlock just as formal Brexit talks begin.","yougov, model, estimates, may, lose, majority","prime, minister, theresa, may, lose, control, parliament, britain, s, june, election, according, projection, polling, company, yougov, raising, prospect, political, deadlock, just, formal, brexit, talks, begin"
"7352","2017-05-29","Corbyn says he would ensure Brexit deal","The leader of Britain's main opposition Labour Party said he would ensure there was Brexit deal with the European Union were he to win power, in contrast to Prime Minister Theresa May who has said she would be prepared to walk from a bad deal.","corbyn, says, ensure, brexit, deal","leader, britain, s, main, opposition, labour, party, said, ensure, brexit, deal, european, union, win, power, contrast, prime, minister, theresa, may, said, prepared, walk, bad, deal"
"7355","2017-05-29","May says no delaying June 19 start to Brexit talks","British Prime Minister Theresa May said there would be no way to delay a June 19 start to Brexit negotiations as she urged voters to give her a strong mandate in a national election due next week.","may, says, delaying, june, start, brexit, talks","british, prime, minister, theresa, may, said, way, delay, june, start, brexit, negotiations, urged, voters, give, strong, mandate, national, election, due, next, week"
"7402","2017-05-26","UK consumers downbeat on finances as inflation bites","The rise in inflation in Britain after the Brexit vote has made households the most downbeat about their finances in more than two years, and the giant services sector is also feeling the impact, surveys showed on Friday.","uk, consumers, downbeat, finances, inflation, bites","rise, inflation, britain, brexit, vote, made, households, downbeat, finances, two, years, giant, services, sector, also, feeling, impact, surveys, showed, friday"
