"","Date","Headline","Description","HeadlineTerms","DescriptionTerms"
"7645","2017-05-08","Macron to be tough in Brexit talks, but won't seek to punish UK - economic adviser","France's President-elect Emmanuel Macron will be tough in negotiations over the terms of Britain's departure from the European Union but will not seek to punish Britain, his economic adviser said on Monday.","macron, tough, brexit, talks, won, t, seek, punish, uk, economic, adviser","france, s, president, elect, emmanuel, macron, will, tough, negotiations, terms, britain, s, departure, european, union, will, seek, punish, britain, economic, adviser, said, monday"
"7647","2017-05-08","Street artist Banksy tackles Brexit in Dover mural","British street artist Banksy has taken on Brexit with a mural of a workman chipping away one of the 12 gold stars on the flag of the European Union on a wall in Dover, the ferry port that connects England with Calais in France.","street, artist, banksy, tackles, brexit, dover, mural","british, street, artist, banksy, taken, brexit, mural, workman, chipping, away, one, gold, stars, flag, european, union, wall, dover, ferry, port, connects, england, calais, france"
"7648","2017-05-08","Slowing economy likely to ruffle Bank of England hawks' feathers","""Not yet"" is likely to be the main message this week from Bank of England officials pondering when to start signalling an interest rate hike after a sharp slowdown rekindling doubt about Britain's economy ahead of Brexit.","slowing, economy, likely, ruffle, bank, england, hawks, feathers","yet, likely, main, message, week, bank, england, officials, pondering, start, signalling, interest, rate, hike, sharp, slowdown, rekindling, doubt, britain, s, economy, ahead, brexit"
"7649","2017-05-08","Paris to redouble efforts to attract Brexit banks after Macron win","Emmanuel Macron's victory in the French presidential election and his plans to swiftly implement structural reforms is a boon for Paris in its efforts to attract banks and other financial service companies seeking to move operations out of Britain, the head of lobbying group Paris Europlace said on Monday.","paris, redouble, efforts, attract, brexit, banks, macron, win","emmanuel, macron, s, victory, french, presidential, election, plans, swiftly, implement, structural, reforms, boon, paris, efforts, attract, banks, financial, service, companies, seeking, move, operations, britain, head, lobbying, group, paris, europlace, said, monday"
"7656","2017-05-05","Local polls boost May five weeks before UK national election","Britain's Conservative Party made strong gains in local elections on Friday, suggesting Prime Minister Theresa May's Brexit strategy is winning over voters who should hand her an easy victory in a parliamentary poll next month.","local, polls, boost, may, five, weeks, uk, national, election","britain, s, conservative, party, made, strong, gains, local, elections, friday, suggesting, prime, minister, theresa, may, s, brexit, strategy, winning, voters, hand, easy, victory, parliamentary, poll, next, month"
"7658","2017-05-05","Influence of English is fading, says EU chief Juncker","European Commission President Jean-Claude Juncker took a swipe at Britain on Friday, saying he would not give a speech in English because the language was becoming less significant following Brexit.","influence, english, fading, says, eu, chief, juncker","european, commission, president, jean, claude, juncker, took, swipe, britain, friday, saying, give, speech, english, language, becoming, less, significant, following, brexit"
"7659","2017-05-05","Merkel says wants good partnership with Britain after Brexit","German Chancellor Angela Merkel called on Friday for fair and constructive negotiations with Britain over its exit from the European Union, with the aim of retaining a good partnership.","merkel, says, wants, good, partnership, britain, brexit","german, chancellor, angela, merkel, called, friday, fair, constructive, negotiations, britain, exit, european, union, aim, retaining, good, partnership"
"7660","2017-05-05","Brexit minister Davis says EU trying to bully Britain","The European Commission is trying to bully Britain, Brexit minister David Davis said, ratcheting up the rhetoric before a national election in which the ruling Conservatives are asking voters to back them ahead of tough talks to leave the EU.","brexit, minister, davis, says, eu, trying, bully, britain","european, commission, trying, bully, britain, brexit, minister, david, davis, said, ratcheting, rhetoric, national, election, ruling, conservatives, asking, voters, back, ahead, tough, talks, leave, eu"
"7665","2017-05-03","Brexit won't be a success, but can be professionally managed - senior EU official","Britain's exit from the European Union cannot be turned into a success, but it can be managed in a pragmatic way, a senior European Union official said in an interview with Politico on Wednesday.","brexit, won, t, success, can, professionally, managed, senior, eu, official","britain, s, exit, european, union, turned, success, can, managed, pragmatic, way, senior, european, union, official, said, interview, politico, wednesday"
"7667","2017-05-03","Standard Chartered favours Frankfurt as EU hub after Brexit","Standard Chartered is in talks with regulators about making Frankfurt its European base to secure market access to the European Union when Britain leaves the bloc.","standard, chartered, favours, frankfurt, eu, hub, brexit","standard, chartered, talks, regulators, making, frankfurt, european, base, secure, market, access, european, union, britain, leaves, bloc"
"7669","2017-05-03","Britain must agree way of calculating exit dues - EU's Barnier","The European Union's chief Brexit negotiator said on Wednesday that London and the bloc needed to agree on a clear way of calculating how much Britain owed before starting any talks about a future relationship.","britain, must, agree, way, calculating, exit, dues, eu, s, barnier","european, union, s, chief, brexit, negotiator, said, wednesday, london, bloc, needed, agree, clear, way, calculating, much, britain, owed, starting, talks, future, relationship"
"7671","2017-05-04","Hammond warns moving clearing out of UK carries risks","Chancellor Philip Hammond warned on Thursday of potential risks if the European Union moves the clearing of euro-denominated securities like derivatives and bonds to within the euro zone after Brexit.","hammond, warns, moving, clearing, uk, carries, risks","chancellor, philip, hammond, warned, thursday, potential, risks, european, union, moves, clearing, euro, denominated, securities, like, derivatives, bonds, within, euro, zone, brexit"
"7672","2017-05-04","City of London's Brexit job losses limited to 'low thousands' - new policy chief","A shift in banking jobs from Britain to continental Europe because of Brexit is likely be in the ""low thousands"", the City of London's new policy chief said on Thursday - and warned that a ""turbulent"" few months lay ahead.","city, london, s, brexit, job, losses, limited, low, thousands, new, policy, chief","shift, banking, jobs, britain, continental, europe, brexit, likely, low, thousands, city, london, s, new, policy, chief, said, thursday, warned, turbulent, months, lay, ahead"
"7673","2017-05-04","Luxembourg says no sweetheart deals for financial firms fleeing Brexit","Luxembourg is in talks with a wide range of financial firms looking to relocate out of London as Britain leaves the European Union, but it will not offer sweeteners to undercut rival centres, Finance Minister Pierre Gramegna said on Thursday.","luxembourg, says, sweetheart, deals, financial, firms, fleeing, brexit","luxembourg, talks, wide, range, financial, firms, looking, relocate, london, britain, leaves, european, union, will, offer, sweeteners, undercut, rival, centres, finance, minister, pierre, gramegna, said, thursday"
"7675","2017-05-04","EU mulls relocation of UK clearing after Brexit, but no decision yet","The European Commission is considering as a possible option the relocation of a big chunk of derivative clearing from London to the European Union after Britain leaves the bloc, but no decision has been taken yet, a top official said on Thursday.","eu, mulls, relocation, uk, clearing, brexit, decision, yet","european, commission, considering, possible, option, relocation, big, chunk, derivative, clearing, london, european, union, britain, leaves, bloc, decision, taken, yet, top, official, said, thursday"
"7678","2017-05-03","May says EU seeking to affect result of British election","British Prime Minister Theresa May accused European politicians and officials on Wednesday of seeking to affect the outcome of the June 8 national election by issuing threats over Brexit.","may, says, eu, seeking, affect, result, british, election","british, prime, minister, theresa, may, accused, european, politicians, officials, wednesday, seeking, affect, outcome, june, national, election, issuing, threats, brexit"
"7683","2017-05-03","Brexit won't be a success, but can be professionally managed - senior EU official","Britain's exit from the European Union cannot be turned into a success, but it can be managed in a pragmatic way, a senior European Union official said in an interview with Politico on Wednesday.","brexit, won, t, success, can, professionally, managed, senior, eu, official","britain, s, exit, european, union, turned, success, can, managed, pragmatic, way, senior, european, union, official, said, interview, politico, wednesday"
"7685","2017-05-03","Standard Chartered favours Frankfurt as EU hub after Brexit","Standard Chartered is in talks with regulators about making Frankfurt its European base to secure market access to the European Union when Britain leaves the bloc.","standard, chartered, favours, frankfurt, eu, hub, brexit","standard, chartered, talks, regulators, making, frankfurt, european, base, secure, market, access, european, union, britain, leaves, bloc"
"7687","2017-05-03","Britain must agree way of calculating exit dues - EU's Barnier","The European Union's chief Brexit negotiator said on Wednesday that London and the bloc needed to agree on a clear way of calculating how much Britain owed before starting any talks about a future relationship.","britain, must, agree, way, calculating, exit, dues, eu, s, barnier","european, union, s, chief, brexit, negotiator, said, wednesday, london, bloc, needed, agree, clear, way, calculating, much, britain, owed, starting, talks, future, relationship"
